ticket_id	exist_in_primary	exist_in_secondary
13919	0	1
13937	0	1
13943	0	1
29337	0	1
29341	0	1
29581	0	1
29885	0	1
31719	0	1
32431	0	1
32699	0	1
34589	0	1
22067	0	1
39880	0	1
39882	0	1
39984	0	1
1508	0	1
59623	0	1
59616	0	1
59632	0	1
44458	0	1
64351	0	1
66848	0	1
68875	0	1
67047	0	1
64823	0	1
66938	0	1
14810	0	1
14906	0	1
14903	0	1
56430	0	1
56965	0	1
70441	0	1
70447	0	1
70448	0	1
70452	0	1
70455	0	1
70458	0	1
70466	0	1
70472	0	1
70473	0	1
70475	0	1
71676	0	1
77324	0	1
62005	0	1
83612	0	1
62403	0	1
2911	1	0
3251	1	0
4076	1	0
6691	1	0
12436	1	0
14738	1	0
18588	1	0
26028	1	0
26178	1	0
41094	1	0
25072	1	0
26649	1	0
28490	1	0
28666	1	0
28668	1	0
28670	1	0
28672	1	0
35630	1	0
41080	1	0
37040	1	0
41716	1	0
44012	1	0
44014	1	0
44016	1	0
48559	1	0
45372	1	0
17078	1	0
17081	1	0
24199	1	0
37134	1	0
24383	1	0
24384	1	0
24381	1	0
24385	1	0
55994	1	0
58384	1	0
58388	1	0
58392	1	0
58403	1	0
58418	1	0
58477	1	0
58481	1	0
58494	1	0
26683	1	0
62148	1	0
57036	1	0
57039	1	0
59341	1	0
59339	1	0
59338	1	0
59336	1	0
25214	1	0
25215	1	0
68845	1	0
68846	1	0
71743	1	0
68571	1	0
70902	1	0
40628	1	0
25041	1	0
40640	1	0
25044	1	0
40642	1	0
25045	1	0
40652	1	0
25048	1	0
25050	1	0
25788	1	0
26591	1	0
26483	1	0
26460	1	0
46149	1	0
23916	1	0
23918	1	0
77244	1	0
77146	1	0
77149	1	0
77152	1	0
69387	1	0
80611	1	0
77960	1	0
80995	1	0
80972	1	0
57326	1	0
77331	1	0
23315	1	0
77461	1	0
