14438	7205	0	541	7205	171640781409394	2025-12-31	303568	GBP	NULL	NULL	NULL
14438	6098	10	541	6098	171640784610681	2025-12-31	303568	GBP	NULL	NULL	NULL
14438	6113	10	541	6113	171640787561157	2025-12-31	303568	GBP	NULL	NULL	NULL
14438	6215	15	541	6215	171640797655057	2025-12-31	303568	GBP	NULL	NULL	NULL
14438	8984	15	541	8984	171640808526563	2025-12-31	303568	GBP	NULL	NULL	NULL
14438	6446	15	541	6446	171640813023962	2025-12-31	303568	GBP	NULL	NULL	NULL
14438	7205	0	541	7205	171640781409394	2025-12-31	303569	GBP	NULL	NULL	NULL
14438	6098	10	541	6098	171640784610681	2025-12-31	303569	GBP	NULL	NULL	NULL
14438	6113	10	541	6113	171640787561157	2025-12-31	303569	GBP	NULL	NULL	NULL
14438	6215	15	541	6215	171640797655057	2025-12-31	303569	GBP	NULL	NULL	NULL
14438	8984	15	541	8984	171640808526563	2025-12-31	303569	GBP	NULL	NULL	NULL
14438	6446	15	541	6446	171640813023962	2025-12-31	303569	GBP	NULL	NULL	NULL
