vt_group_no	transaction_id	salePrice	otherPrice
173517578470308	173517578470308001R	199.00	0.00
173517578470308	173517578470308002R	199.00	0.00
173517578470308	173517578470308009R	199.00	0.00
173517578470308	173517578470308010R	199.00	0.00
173600982984415	173600982984415001R	199.00	0.00
173600982984415	173600982984415002R	199.00	0.00
173600982984415	173600982984415009R	199.00	0.00
173600982984415	173600982984415010R	199.00	0.00
173667831857560	173667831857560001R	199.00	0.00
173667831857560	173667831857560002R	199.00	0.00
173705809837034	173705809837034001R	199.00	0.00
173705809837034	173705809837034002R	199.00	0.00
vt_group_no	transaction_id	salePrice	otherPrice
173593713953855	173593713953855001R	120.00	105.70
173602086884135	173602086884135002R	120.00	105.70
173676961323939	173676961323939001R	124.00	140.20
173676961323939	173676961323939002R	124.00	140.20
